vector,frame,subframe,field,expected,got,delta,notes
PITCH,112,-1,top_open_loop,28,28,0,range_ok
PITCH,113,-1,top_open_loop,105,73,-32,mismatch
PITCH,114,-1,top_open_loop,20,20,0,range_ok
PITCH,115,-1,top_open_loop,30,30,0,range_ok
PITCH,116,-1,top_open_loop,30,30,0,range_ok
PITCH,117,-1,top_open_loop,30,30,0,range_ok
PITCH,118,-1,top_open_loop,30,30,0,range_ok
PITCH,119,-1,top_open_loop,39,88,49,mismatch
PITCH,120,-1,top_open_loop,20,20,0,range_ok
PITCH,121,-1,top_open_loop,30,30,0,range_ok
PITCH,122,-1,top_open_loop,30,30,0,range_ok
PITCH,123,-1,top_open_loop,30,30,0,range_ok
PITCH,124,-1,top_open_loop,30,30,0,range_ok
PITCH,125,-1,top_open_loop,30,20,-10,mismatch
PITCH,126,-1,top_open_loop,137,137,0,range_ok
PITCH,127,-1,top_open_loop,21,21,0,range_ok
PITCH,128,-1,top_open_loop,31,31,0,range_ok
PITCH,129,-1,top_open_loop,31,31,0,range_ok
PITCH,130,-1,top_open_loop,31,31,0,range_ok
PITCH,131,-1,top_open_loop,21,21,0,range_ok
PITCH,132,-1,top_open_loop,20,96,76,mismatch
PITCH,133,-1,top_open_loop,22,22,0,range_ok
PITCH,134,-1,top_open_loop,22,33,11,mismatch
PITCH,135,-1,top_open_loop,22,22,0,range_ok
PITCH,136,-1,top_open_loop,22,22,0,range_ok
PITCH,137,-1,top_open_loop,22,22,0,range_ok
PITCH,138,-1,top_open_loop,21,21,0,range_ok
PITCH,139,-1,top_open_loop,22,22,0,range_ok
PITCH,140,-1,top_open_loop,22,22,0,range_ok
PITCH,141,-1,top_open_loop,22,22,0,range_ok
PITCH,142,-1,top_open_loop,22,22,0,range_ok
PITCH,143,-1,top_open_loop,33,22,-11,mismatch
PITCH,144,-1,top_open_loop,22,22,0,range_ok
PITCH,145,-1,top_open_loop,129,140,11,mismatch
PITCH,146,-1,top_open_loop,23,23,0,range_ok
PITCH,147,-1,top_open_loop,34,34,0,range_ok
PITCH,148,-1,top_open_loop,34,34,0,range_ok
PITCH,149,-1,top_open_loop,34,34,0,range_ok
PITCH,150,-1,top_open_loop,34,34,0,range_ok
PITCH,151,-1,top_open_loop,114,80,-34,mismatch
