source,frame,sub,field,index,got
OVERFLOW,59,0,adaptive_v_rms_x100,-1,26046
OVERFLOW,59,0,pitch_contrib_rms_x100,-1,27592
OVERFLOW,59,0,fixed_contrib_rms_x100,-1,3312
OVERFLOW,59,0,excitation_u_rms_x100,-1,26448
OVERFLOW,59,0,pitch_to_fixed_ratio_x100,-1,833
OVERFLOW,59,0,past_to_fixed_ratio_x100,-1,767
OVERFLOW,60,1,bitstream_ga,-1,1
OVERFLOW,60,1,bitstream_gb,-1,7
OVERFLOW,60,1,pitch_t_int,-1,24
OVERFLOW,60,1,pitch_t_frac,-1,0
OVERFLOW,60,1,adaptive_gain_before_q14,-1,16985
OVERFLOW,60,1,pitch_instability_flag_q0,-1,0
OVERFLOW,60,1,adaptive_gain_after_pitch_instability_q14,-1,16985
OVERFLOW,60,1,fixed_gain_q14,-1,626464
OVERFLOW,60,1,past_exc_rms_x100,-1,25619
OVERFLOW,60,1,past_tail_rms_x100,-1,24895
OVERFLOW,60,1,adaptive_v_rms_x100,-1,24447
OVERFLOW,60,1,pitch_contrib_rms_x100,-1,25341
OVERFLOW,60,1,fixed_contrib_rms_x100,-1,1471
OVERFLOW,60,1,excitation_u_rms_x100,-1,26180
OVERFLOW,60,1,pitch_to_fixed_ratio_x100,-1,1722
OVERFLOW,60,1,past_to_fixed_ratio_x100,-1,1741
OVERFLOW,61,0,bitstream_ga,-1,1
OVERFLOW,61,0,bitstream_gb,-1,9
OVERFLOW,61,0,pitch_t_int,-1,24
OVERFLOW,61,0,pitch_t_frac,-1,0
OVERFLOW,61,0,adaptive_gain_before_q14,-1,16683
OVERFLOW,61,0,pitch_instability_flag_q0,-1,0
OVERFLOW,61,0,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,61,0,fixed_gain_q14,-1,674432
OVERFLOW,61,0,past_exc_rms_x100,-1,25536
OVERFLOW,61,0,past_tail_rms_x100,-1,26180
OVERFLOW,61,0,adaptive_v_rms_x100,-1,25966
OVERFLOW,61,0,pitch_contrib_rms_x100,-1,26440
OVERFLOW,61,0,fixed_contrib_rms_x100,-1,1580
OVERFLOW,61,0,excitation_u_rms_x100,-1,26399
OVERFLOW,61,0,pitch_to_fixed_ratio_x100,-1,1673
OVERFLOW,61,0,past_to_fixed_ratio_x100,-1,1616
OVERFLOW,61,1,bitstream_ga,-1,1
OVERFLOW,61,1,bitstream_gb,-1,9
OVERFLOW,61,1,pitch_t_int,-1,24
OVERFLOW,61,1,pitch_t_frac,-1,0
OVERFLOW,61,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,61,1,pitch_instability_flag_q0,-1,0
OVERFLOW,61,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,61,1,fixed_gain_q14,-1,653312
OVERFLOW,61,1,past_exc_rms_x100,-1,25508
OVERFLOW,61,1,past_tail_rms_x100,-1,26399
OVERFLOW,61,1,adaptive_v_rms_x100,-1,26276
OVERFLOW,61,1,pitch_contrib_rms_x100,-1,26751
OVERFLOW,61,1,fixed_contrib_rms_x100,-1,1539
OVERFLOW,61,1,excitation_u_rms_x100,-1,26901
OVERFLOW,61,1,pitch_to_fixed_ratio_x100,-1,1738
OVERFLOW,61,1,past_to_fixed_ratio_x100,-1,1658
OVERFLOW,62,0,bitstream_ga,-1,4
OVERFLOW,62,0,bitstream_gb,-1,9
OVERFLOW,62,0,pitch_t_int,-1,24
OVERFLOW,62,0,pitch_t_frac,-1,0
OVERFLOW,62,0,adaptive_gain_before_q14,-1,16963
OVERFLOW,62,0,pitch_instability_flag_q0,-1,0
OVERFLOW,62,0,adaptive_gain_after_pitch_instability_q14,-1,16963
OVERFLOW,62,0,fixed_gain_q14,-1,902880
OVERFLOW,62,0,past_exc_rms_x100,-1,26018
OVERFLOW,62,0,past_tail_rms_x100,-1,26901
OVERFLOW,62,0,adaptive_v_rms_x100,-1,26520
OVERFLOW,62,0,pitch_contrib_rms_x100,-1,27452
OVERFLOW,62,0,fixed_contrib_rms_x100,-1,2227
OVERFLOW,62,0,excitation_u_rms_x100,-1,27959
OVERFLOW,62,0,pitch_to_fixed_ratio_x100,-1,1232
OVERFLOW,62,0,past_to_fixed_ratio_x100,-1,1168
OVERFLOW,62,1,bitstream_ga,-1,7
OVERFLOW,62,1,bitstream_gb,-1,3
OVERFLOW,62,1,pitch_t_int,-1,24
OVERFLOW,62,1,pitch_t_frac,-1,0
OVERFLOW,62,1,adaptive_gain_before_q14,-1,16169
OVERFLOW,62,1,pitch_instability_flag_q0,-1,0
OVERFLOW,62,1,adaptive_gain_after_pitch_instability_q14,-1,16169
OVERFLOW,62,1,fixed_gain_q14,-1,1142720
OVERFLOW,62,1,past_exc_rms_x100,-1,26833
OVERFLOW,62,1,past_tail_rms_x100,-1,27959
OVERFLOW,62,1,adaptive_v_rms_x100,-1,27902
OVERFLOW,62,1,pitch_contrib_rms_x100,-1,27539
OVERFLOW,62,1,fixed_contrib_rms_x100,-1,2835
OVERFLOW,62,1,excitation_u_rms_x100,-1,28275
OVERFLOW,62,1,pitch_to_fixed_ratio_x100,-1,971
OVERFLOW,62,1,past_to_fixed_ratio_x100,-1,947
OVERFLOW,63,0,bitstream_ga,-1,7
OVERFLOW,63,0,bitstream_gb,-1,3
OVERFLOW,63,0,pitch_t_int,-1,24
OVERFLOW,63,0,pitch_t_frac,-1,0
OVERFLOW,63,0,adaptive_gain_before_q14,-1,16169
OVERFLOW,63,0,pitch_instability_flag_q0,-1,0
OVERFLOW,63,0,adaptive_gain_after_pitch_instability_q14,-1,16169
OVERFLOW,63,0,fixed_gain_q14,-1,1519488
OVERFLOW,63,0,past_exc_rms_x100,-1,27320
OVERFLOW,63,0,past_tail_rms_x100,-1,28275
OVERFLOW,63,0,adaptive_v_rms_x100,-1,27887
OVERFLOW,63,0,pitch_contrib_rms_x100,-1,27518
OVERFLOW,63,0,fixed_contrib_rms_x100,-1,3758
OVERFLOW,63,0,excitation_u_rms_x100,-1,28806
OVERFLOW,63,0,pitch_to_fixed_ratio_x100,-1,732
OVERFLOW,63,0,past_to_fixed_ratio_x100,-1,727
OVERFLOW,64,0,bitstream_ga,-1,1
OVERFLOW,64,0,bitstream_gb,-1,9
OVERFLOW,64,0,pitch_t_int,-1,24
OVERFLOW,64,0,pitch_t_frac,-1,0
OVERFLOW,64,0,adaptive_gain_before_q14,-1,16683
OVERFLOW,64,0,pitch_instability_flag_q0,-1,0
OVERFLOW,64,0,adaptive_gain_after_pitch_instability_q14,-1,16683
