field,frame,sub,index,lag,frac,expected
target_xb,0,0,0,-1,-1,286
target_xb,0,0,1,-1,-1,613
target_xb,0,0,2,-1,-1,222
target_xb,0,0,3,-1,-1,7380
target_xb,0,0,4,-1,-1,16947
target_xb,0,0,5,-1,-1,16274
target_xb,0,0,6,-1,-1,6822
target_xb,0,0,7,-1,-1,3386
target_xb,0,0,8,-1,-1,11742
target_xb,0,0,9,-1,-1,12203
target_xb,0,0,10,-1,-1,2434
target_xb,0,0,11,-1,-1,-178
target_xb,0,0,12,-1,-1,7740
target_xb,0,0,13,-1,-1,8640
target_xb,0,0,14,-1,-1,-1135
target_xb,0,0,15,-1,-1,-3364
target_xb,0,0,16,-1,-1,4830
target_xb,0,0,17,-1,-1,5891
target_xb,0,0,18,-1,-1,-3685
target_xb,0,0,19,-1,-1,-5742
target_xb,0,0,20,-1,-1,2712
target_xb,0,0,21,-1,-1,3905
target_xb,0,0,22,-1,-1,-5425
target_xb,0,0,23,-1,-1,-7355
target_xb,0,0,24,-1,-1,1312
target_xb,0,0,25,-1,-1,2654
target_xb,0,0,26,-1,-1,-6504
target_xb,0,0,27,-1,-1,-8300
target_xb,0,0,28,-1,-1,509
target_xb,0,0,29,-1,-1,2002
target_xb,0,0,30,-1,-1,-7048
target_xb,0,0,31,-1,-1,-8738
target_xb,0,0,32,-1,-1,187
target_xb,0,0,33,-1,-1,1804
target_xb,0,0,34,-1,-1,-7191
target_xb,0,0,35,-1,-1,-8697
target_xb,0,0,36,-1,-1,102
target_xb,0,0,37,-1,-1,1461
target_xb,0,0,38,-1,-1,-6596
target_xb,0,0,39,-1,-1,-7297
old_exc,0,0,0,-1,-1,0
old_exc,0,0,1,-1,-1,0
old_exc,0,0,2,-1,-1,0
old_exc,0,0,3,-1,-1,0
old_exc,0,0,4,-1,-1,0
old_exc,0,0,5,-1,-1,0
old_exc,0,0,6,-1,-1,0
old_exc,0,0,7,-1,-1,0
old_exc,0,0,8,-1,-1,0
old_exc,0,0,9,-1,-1,0
old_exc,0,0,10,-1,-1,0
old_exc,0,0,11,-1,-1,0
old_exc,0,0,12,-1,-1,0
old_exc,0,0,13,-1,-1,0
old_exc,0,0,14,-1,-1,0
old_exc,0,0,15,-1,-1,0
old_exc,0,0,16,-1,-1,0
old_exc,0,0,17,-1,-1,0
old_exc,0,0,18,-1,-1,0
old_exc,0,0,19,-1,-1,0
old_exc,0,0,20,-1,-1,0
old_exc,0,0,21,-1,-1,0
old_exc,0,0,22,-1,-1,0
old_exc,0,0,23,-1,-1,0
old_exc,0,0,24,-1,-1,0
old_exc,0,0,25,-1,-1,0
old_exc,0,0,26,-1,-1,0
old_exc,0,0,27,-1,-1,0
old_exc,0,0,28,-1,-1,0
old_exc,0,0,29,-1,-1,0
old_exc,0,0,30,-1,-1,0
old_exc,0,0,31,-1,-1,0
old_exc,0,0,32,-1,-1,0
old_exc,0,0,33,-1,-1,0
old_exc,0,0,34,-1,-1,0
old_exc,0,0,35,-1,-1,0
old_exc,0,0,36,-1,-1,0
old_exc,0,0,37,-1,-1,0
old_exc,0,0,38,-1,-1,0
old_exc,0,0,39,-1,-1,0
old_exc,0,0,40,-1,-1,0
old_exc,0,0,41,-1,-1,0
old_exc,0,0,42,-1,-1,0
old_exc,0,0,43,-1,-1,0
old_exc,0,0,44,-1,-1,0
old_exc,0,0,45,-1,-1,0
old_exc,0,0,46,-1,-1,0
old_exc,0,0,47,-1,-1,0
old_exc,0,0,48,-1,-1,0
old_exc,0,0,49,-1,-1,0
old_exc,0,0,50,-1,-1,0
old_exc,0,0,51,-1,-1,0
old_exc,0,0,52,-1,-1,0
old_exc,0,0,53,-1,-1,0
old_exc,0,0,54,-1,-1,0
old_exc,0,0,55,-1,-1,0
old_exc,0,0,56,-1,-1,0
old_exc,0,0,57,-1,-1,0
old_exc,0,0,58,-1,-1,0
old_exc,0,0,59,-1,-1,0
old_exc,0,0,60,-1,-1,0
old_exc,0,0,61,-1,-1,0
old_exc,0,0,62,-1,-1,0
old_exc,0,0,63,-1,-1,0
old_exc,0,0,64,-1,-1,0
old_exc,0,0,65,-1,-1,0
old_exc,0,0,66,-1,-1,0
old_exc,0,0,67,-1,-1,0
old_exc,0,0,68,-1,-1,0
old_exc,0,0,69,-1,-1,0
old_exc,0,0,70,-1,-1,0
old_exc,0,0,71,-1,-1,0
old_exc,0,0,72,-1,-1,0
old_exc,0,0,73,-1,-1,0
old_exc,0,0,74,-1,-1,0
old_exc,0,0,75,-1,-1,0
old_exc,0,0,76,-1,-1,0
old_exc,0,0,77,-1,-1,0
old_exc,0,0,78,-1,-1,0
old_exc,0,0,79,-1,-1,0
old_exc,0,0,80,-1,-1,0
old_exc,0,0,81,-1,-1,0
old_exc,0,0,82,-1,-1,0
old_exc,0,0,83,-1,-1,0
old_exc,0,0,84,-1,-1,0
old_exc,0,0,85,-1,-1,0
old_exc,0,0,86,-1,-1,0
old_exc,0,0,87,-1,-1,0
old_exc,0,0,88,-1,-1,0
old_exc,0,0,89,-1,-1,0
old_exc,0,0,90,-1,-1,0
old_exc,0,0,91,-1,-1,0
old_exc,0,0,92,-1,-1,0
old_exc,0,0,93,-1,-1,0
old_exc,0,0,94,-1,-1,0
old_exc,0,0,95,-1,-1,0
old_exc,0,0,96,-1,-1,0
old_exc,0,0,97,-1,-1,0
old_exc,0,0,98,-1,-1,0
old_exc,0,0,99,-1,-1,0
old_exc,0,0,100,-1,-1,0
old_exc,0,0,101,-1,-1,0
old_exc,0,0,102,-1,-1,0
old_exc,0,0,103,-1,-1,0
old_exc,0,0,104,-1,-1,0
old_exc,0,0,105,-1,-1,0
old_exc,0,0,106,-1,-1,0
old_exc,0,0,107,-1,-1,0
old_exc,0,0,108,-1,-1,0
old_exc,0,0,109,-1,-1,0
old_exc,0,0,110,-1,-1,0
old_exc,0,0,111,-1,-1,0
old_exc,0,0,112,-1,-1,0
old_exc,0,0,113,-1,-1,0
old_exc,0,0,114,-1,-1,0
old_exc,0,0,115,-1,-1,0
old_exc,0,0,116,-1,-1,0
old_exc,0,0,117,-1,-1,0
old_exc,0,0,118,-1,-1,0
old_exc,0,0,119,-1,-1,0
old_exc,0,0,120,-1,-1,0
old_exc,0,0,121,-1,-1,0
old_exc,0,0,122,-1,-1,0
old_exc,0,0,123,-1,-1,0
old_exc,0,0,124,-1,-1,0
old_exc,0,0,125,-1,-1,0
old_exc,0,0,126,-1,-1,0
old_exc,0,0,127,-1,-1,0
old_exc,0,0,128,-1,-1,0
old_exc,0,0,129,-1,-1,0
old_exc,0,0,130,-1,-1,0
old_exc,0,0,131,-1,-1,0
old_exc,0,0,132,-1,-1,0
old_exc,0,0,133,-1,-1,0
old_exc,0,0,134,-1,-1,0
old_exc,0,0,135,-1,-1,0
old_exc,0,0,136,-1,-1,0
old_exc,0,0,137,-1,-1,0
old_exc,0,0,138,-1,-1,0
old_exc,0,0,139,-1,-1,0
old_exc,0,0,140,-1,-1,0
old_exc,0,0,141,-1,-1,0
old_exc,0,0,142,-1,-1,0
exc_residual_ext,0,0,0,-1,-1,-488
exc_residual_ext,0,0,1,-1,-1,780
exc_residual_ext,0,0,2,-1,-1,-1079
exc_residual_ext,0,0,3,-1,-1,1906
exc_residual_ext,0,0,4,-1,-1,9154
exc_residual_ext,0,0,5,-1,-1,11277
exc_residual_ext,0,0,6,-1,-1,6262
exc_residual_ext,0,0,7,-1,-1,-151
exc_residual_ext,0,0,8,-1,-1,5618
exc_residual_ext,0,0,9,-1,-1,9232
exc_residual_ext,0,0,10,-1,-1,3212
exc_residual_ext,0,0,11,-1,-1,-1825
exc_residual_ext,0,0,12,-1,-1,3026
exc_residual_ext,0,0,13,-1,-1,7252
exc_residual_ext,0,0,14,-1,-1,1004
exc_residual_ext,0,0,15,-1,-1,-3758
exc_residual_ext,0,0,16,-1,-1,1302
exc_residual_ext,0,0,17,-1,-1,5594
exc_residual_ext,0,0,18,-1,-1,-500
exc_residual_ext,0,0,19,-1,-1,-5231
exc_residual_ext,0,0,20,-1,-1,68
exc_residual_ext,0,0,21,-1,-1,4350
exc_residual_ext,0,0,22,-1,-1,-1519
