field,frame,tap,L0,L1,L2,L3,col,got
predictor_memory,1,2,-1,-1,-1,-1,1,4679
predictor_memory,1,2,-1,-1,-1,-1,2,7019
predictor_memory,1,2,-1,-1,-1,-1,3,9359
predictor_memory,1,2,-1,-1,-1,-1,4,11698
predictor_memory,1,2,-1,-1,-1,-1,5,14038
predictor_memory,1,2,-1,-1,-1,-1,6,16377
predictor_memory,1,2,-1,-1,-1,-1,7,18717
predictor_memory,1,2,-1,-1,-1,-1,8,21057
predictor_memory,1,2,-1,-1,-1,-1,9,23396
predictor_memory,1,3,-1,-1,-1,-1,0,2340
predictor_memory,1,3,-1,-1,-1,-1,1,4679
predictor_memory,1,3,-1,-1,-1,-1,2,7019
predictor_memory,1,3,-1,-1,-1,-1,3,9359
predictor_memory,1,3,-1,-1,-1,-1,4,11698
predictor_memory,1,3,-1,-1,-1,-1,5,14038
predictor_memory,1,3,-1,-1,-1,-1,6,16377
predictor_memory,1,3,-1,-1,-1,-1,7,18717
predictor_memory,1,3,-1,-1,-1,-1,8,21057
predictor_memory,1,3,-1,-1,-1,-1,9,23396
omega_lsf,1,-1,-1,-1,-1,-1,0,2333
omega_lsf,1,-1,-1,-1,-1,-1,1,4674
omega_lsf,1,-1,-1,-1,-1,-1,2,7014
omega_lsf,1,-1,-1,-1,-1,-1,3,9354
omega_lsf,1,-1,-1,-1,-1,-1,4,11695
omega_lsf,1,-1,-1,-1,-1,-1,5,14033
omega_lsf,1,-1,-1,-1,-1,-1,6,16374
omega_lsf,1,-1,-1,-1,-1,-1,7,18713
omega_lsf,1,-1,-1,-1,-1,-1,8,21054
omega_lsf,1,-1,-1,-1,-1,-1,9,23394
weight_lsf,1,-1,-1,-1,-1,-1,0,501
weight_lsf,1,-1,-1,-1,-1,-1,1,721
weight_lsf,1,-1,-1,-1,-1,-1,2,721
weight_lsf,1,-1,-1,-1,-1,-1,3,721
weight_lsf,1,-1,-1,-1,-1,-1,4,865
weight_lsf,1,-1,-1,-1,-1,-1,5,865
weight_lsf,1,-1,-1,-1,-1,-1,6,721
weight_lsf,1,-1,-1,-1,-1,-1,7,721
weight_lsf,1,-1,-1,-1,-1,-1,8,721
weight_lsf,1,-1,-1,-1,-1,-1,9,364
target_lsf,1,-1,0,-1,-1,-1,0,2991
target_lsf,1,-1,0,-1,-1,-1,1,4421
target_lsf,1,-1,0,-1,-1,-1,2,7291
target_lsf,1,-1,0,-1,-1,-1,3,9165
target_lsf,1,-1,0,-1,-1,-1,4,12321
target_lsf,1,-1,0,-1,-1,-1,5,13861
target_lsf,1,-1,0,-1,-1,-1,6,16335
target_lsf,1,-1,0,-1,-1,-1,7,18733
target_lsf,1,-1,0,-1,-1,-1,8,20304
target_lsf,1,-1,0,-1,-1,-1,9,22194
target_lsf,1,-1,1,-1,-1,-1,0,2657
target_lsf,1,-1,1,-1,-1,-1,1,4575
target_lsf,1,-1,1,-1,-1,-1,2,7119
target_lsf,1,-1,1,-1,-1,-1,3,9274
target_lsf,1,-1,1,-1,-1,-1,4,11979
target_lsf,1,-1,1,-1,-1,-1,5,13953
target_lsf,1,-1,1,-1,-1,-1,6,16352
target_lsf,1,-1,1,-1,-1,-1,7,18726
target_lsf,1,-1,1,-1,-1,-1,8,20666
target_lsf,1,-1,1,-1,-1,-1,9,22820
encoder_index,1,-1,-1,-1,-1,-1,0,0
encoder_index,1,-1,-1,-1,-1,-1,1,120
encoder_index,1,-1,-1,-1,-1,-1,2,14
encoder_index,1,-1,-1,-1,-1,-1,3,20
bitstream_index,1,-1,-1,-1,-1,-1,0,0
bitstream_index,1,-1,-1,-1,-1,-1,1,120
bitstream_index,1,-1,-1,-1,-1,-1,2,7
bitstream_index,1,-1,-1,-1,-1,-1,3,9
encoder_tuple_cost,1,-1,0,120,14,20,-1,67424315
bitstream_tuple_cost,1,-1,0,120,7,9,-1,389023366
encoder_tuple_rank,1,-1,0,120,14,20,-1,2
bitstream_tuple_rank,1,-1,0,120,7,9,-1,2995
predictor_memory,2,0,-1,-1,-1,-1,0,3306
predictor_memory,2,0,-1,-1,-1,-1,1,4660
predictor_memory,2,0,-1,-1,-1,-1,2,6595
predictor_memory,2,0,-1,-1,-1,-1,3,9002
predictor_memory,2,0,-1,-1,-1,-1,4,12447
predictor_memory,2,0,-1,-1,-1,-1,5,14104
predictor_memory,2,0,-1,-1,-1,-1,6,15872
predictor_memory,2,0,-1,-1,-1,-1,7,18290
predictor_memory,2,0,-1,-1,-1,-1,8,20200
predictor_memory,2,0,-1,-1,-1,-1,9,21456
predictor_memory,2,1,-1,-1,-1,-1,0,1710
predictor_memory,2,1,-1,-1,-1,-1,1,4901
predictor_memory,2,1,-1,-1,-1,-1,2,6757
predictor_memory,2,1,-1,-1,-1,-1,3,9522
predictor_memory,2,1,-1,-1,-1,-1,4,11126
predictor_memory,2,1,-1,-1,-1,-1,5,14185
predictor_memory,2,1,-1,-1,-1,-1,6,16409
predictor_memory,2,1,-1,-1,-1,-1,7,18689
predictor_memory,2,1,-1,-1,-1,-1,8,21797
predictor_memory,2,1,-1,-1,-1,-1,9,24583
predictor_memory,2,2,-1,-1,-1,-1,0,2340
predictor_memory,2,2,-1,-1,-1,-1,1,4679
predictor_memory,2,2,-1,-1,-1,-1,2,7019
predictor_memory,2,2,-1,-1,-1,-1,3,9359
predictor_memory,2,2,-1,-1,-1,-1,4,11698
predictor_memory,2,2,-1,-1,-1,-1,5,14038
predictor_memory,2,2,-1,-1,-1,-1,6,16377
predictor_memory,2,2,-1,-1,-1,-1,7,18717
predictor_memory,2,2,-1,-1,-1,-1,8,21057
predictor_memory,2,2,-1,-1,-1,-1,9,23396
predictor_memory,2,3,-1,-1,-1,-1,0,2340
predictor_memory,2,3,-1,-1,-1,-1,1,4679
predictor_memory,2,3,-1,-1,-1,-1,2,7019
predictor_memory,2,3,-1,-1,-1,-1,3,9359
predictor_memory,2,3,-1,-1,-1,-1,4,11698
predictor_memory,2,3,-1,-1,-1,-1,5,14038
predictor_memory,2,3,-1,-1,-1,-1,6,16377
predictor_memory,2,3,-1,-1,-1,-1,7,18717
predictor_memory,2,3,-1,-1,-1,-1,8,21057
predictor_memory,2,3,-1,-1,-1,-1,9,23396
omega_lsf,2,-1,-1,-1,-1,-1,0,2333
omega_lsf,2,-1,-1,-1,-1,-1,1,4674
omega_lsf,2,-1,-1,-1,-1,-1,2,7014
omega_lsf,2,-1,-1,-1,-1,-1,3,9354
omega_lsf,2,-1,-1,-1,-1,-1,4,11695
omega_lsf,2,-1,-1,-1,-1,-1,5,14033
omega_lsf,2,-1,-1,-1,-1,-1,6,16374
omega_lsf,2,-1,-1,-1,-1,-1,7,18713
omega_lsf,2,-1,-1,-1,-1,-1,8,21054
omega_lsf,2,-1,-1,-1,-1,-1,9,23394
weight_lsf,2,-1,-1,-1,-1,-1,0,501
weight_lsf,2,-1,-1,-1,-1,-1,1,721
weight_lsf,2,-1,-1,-1,-1,-1,2,721
weight_lsf,2,-1,-1,-1,-1,-1,3,721
weight_lsf,2,-1,-1,-1,-1,-1,4,865
weight_lsf,2,-1,-1,-1,-1,-1,5,865
weight_lsf,2,-1,-1,-1,-1,-1,6,721
weight_lsf,2,-1,-1,-1,-1,-1,7,721
weight_lsf,2,-1,-1,-1,-1,-1,8,721
weight_lsf,2,-1,-1,-1,-1,-1,9,364
target_lsf,2,-1,0,-1,-1,-1,0,1835
target_lsf,2,-1,0,-1,-1,-1,1,4491
target_lsf,2,-1,0,-1,-1,-1,2,7718
target_lsf,2,-1,0,-1,-1,-1,3,9580
target_lsf,2,-1,0,-1,-1,-1,4,11378
target_lsf,2,-1,0,-1,-1,-1,5,13823
target_lsf,2,-1,0,-1,-1,-1,6,16862
target_lsf,2,-1,0,-1,-1,-1,7,19158
target_lsf,2,-1,0,-1,-1,-1,8,21344
target_lsf,2,-1,0,-1,-1,-1,9,24398
target_lsf,2,-1,1,-1,-1,-1,0,1994
target_lsf,2,-1,1,-1,-1,-1,1,4641
target_lsf,2,-1,1,-1,-1,-1,2,7220
target_lsf,2,-1,1,-1,-1,-1,3,9485
target_lsf,2,-1,1,-1,-1,-1,4,11451
target_lsf,2,-1,1,-1,-1,-1,5,13961
target_lsf,2,-1,1,-1,-1,-1,6,16650
target_lsf,2,-1,1,-1,-1,-1,7,18958
target_lsf,2,-1,1,-1,-1,-1,8,21318
target_lsf,2,-1,1,-1,-1,-1,9,24028
encoder_index,2,-1,-1,-1,-1,-1,0,0
encoder_index,2,-1,-1,-1,-1,-1,1,120
encoder_index,2,-1,-1,-1,-1,-1,2,7
encoder_index,2,-1,-1,-1,-1,-1,3,11
bitstream_index,2,-1,-1,-1,-1,-1,0,0
bitstream_index,2,-1,-1,-1,-1,-1,1,120
bitstream_index,2,-1,-1,-1,-1,-1,2,31
bitstream_index,2,-1,-1,-1,-1,-1,3,10
encoder_tuple_cost,2,-1,0,120,7,11,-1,90299144
bitstream_tuple_cost,2,-1,0,120,31,10,-1,332673975
encoder_tuple_rank,2,-1,0,120,7,11,-1,1
bitstream_tuple_rank,2,-1,0,120,31,10,-1,474
predictor_memory,3,0,-1,-1,-1,-1,0,2622
predictor_memory,3,0,-1,-1,-1,-1,1,3862
predictor_memory,3,0,-1,-1,-1,-1,2,7294
predictor_memory,3,0,-1,-1,-1,-1,3,9278
predictor_memory,3,0,-1,-1,-1,-1,4,11259
predictor_memory,3,0,-1,-1,-1,-1,5,14185
predictor_memory,3,0,-1,-1,-1,-1,6,16409
predictor_memory,3,0,-1,-1,-1,-1,7,18689
predictor_memory,3,0,-1,-1,-1,-1,8,21797
predictor_memory,3,0,-1,-1,-1,-1,9,24583
predictor_memory,3,1,-1,-1,-1,-1,0,3306
predictor_memory,3,1,-1,-1,-1,-1,1,4660
predictor_memory,3,1,-1,-1,-1,-1,2,6595
predictor_memory,3,1,-1,-1,-1,-1,3,9002
predictor_memory,3,1,-1,-1,-1,-1,4,12447
