frame,selector,L1,L2,L3,ref_selector,ref_L1,ref_L2,ref_L3,col,got
11,1,17,30,7,1,2,3,8,9,21464
12,1,17,27,23,1,17,22,23,0,1406
12,1,17,27,23,1,17,22,23,1,2205
12,1,17,27,23,1,17,22,23,2,3092
12,1,17,27,23,1,17,22,23,3,4912
12,1,17,27,23,1,17,22,23,4,8622
12,1,17,27,23,1,17,22,23,5,11442
12,1,17,27,23,1,17,22,23,6,15854
12,1,17,27,23,1,17,22,23,7,18418
12,1,17,27,23,1,17,22,23,8,21242
12,1,17,27,23,1,17,22,23,9,21593
13,0,105,28,9,0,43,10,31,0,1334
13,0,105,28,9,0,43,10,31,1,3179
13,0,105,28,9,0,43,10,31,2,3634
13,0,105,28,9,0,43,10,31,3,6255
13,0,105,28,9,0,43,10,31,4,8519
13,0,105,28,9,0,43,10,31,5,10265
13,0,105,28,9,0,43,10,31,6,14150
13,0,105,28,9,0,43,10,31,7,17928
13,0,105,28,9,0,43,10,31,8,21543
13,0,105,28,9,0,43,10,31,9,23322
14,1,48,4,2,1,96,16,3,0,1666
14,1,48,4,2,1,96,16,3,1,2513
14,1,48,4,2,1,96,16,3,2,6654
14,1,48,4,2,1,96,16,3,3,9760
14,1,48,4,2,1,96,16,3,4,11852
14,1,48,4,2,1,96,16,3,5,14108
14,1,48,4,2,1,96,16,3,6,15376
14,1,48,4,2,1,96,16,3,7,16957
14,1,48,4,2,1,96,16,3,8,18846
14,1,48,4,2,1,96,16,3,9,22328
15,1,66,11,25,1,66,15,24,0,2236
15,1,66,11,25,1,66,15,24,1,3086
15,1,66,11,25,1,66,15,24,2,5049
15,1,66,11,25,1,66,15,24,3,5660
15,1,66,11,25,1,66,15,24,4,9806
15,1,66,11,25,1,66,15,24,5,13386
15,1,66,11,25,1,66,15,24,6,19008
15,1,66,11,25,1,66,15,24,7,20255
15,1,66,11,25,1,66,15,24,8,21094
15,1,66,11,25,1,66,15,24,9,21782
16,1,2,3,30,1,2,3,24,0,1625
16,1,2,3,30,1,2,3,24,1,2058
16,1,2,3,30,1,2,3,24,2,2749
16,1,2,3,30,1,2,3,24,3,4841
16,1,2,3,30,1,2,3,24,4,9595
16,1,2,3,30,1,2,3,24,5,12619
16,1,2,3,30,1,2,3,24,6,17824
16,1,2,3,30,1,2,3,24,7,18046
16,1,2,3,30,1,2,3,24,8,21039
16,1,2,3,30,1,2,3,24,9,21839
17,1,2,27,8,1,2,27,26,0,1965
17,1,2,27,8,1,2,27,26,1,2814
17,1,2,27,8,1,2,27,26,2,3291
17,1,2,27,8,1,2,27,26,3,4077
17,1,2,27,8,1,2,27,26,4,10144
17,1,2,27,8,1,2,27,26,5,12850
17,1,2,27,8,1,2,27,26,6,16555
17,1,2,27,8,1,2,27,26,7,19098
17,1,2,27,8,1,2,27,26,8,21011
17,1,2,27,8,1,2,27,26,9,21465
18,1,17,26,24,1,17,26,31,0,2163
18,1,17,26,24,1,17,26,31,1,2240
18,1,17,26,24,1,17,26,31,2,2812
18,1,17,26,24,1,17,26,31,3,6946
18,1,17,26,24,1,17,26,31,4,9510
18,1,17,26,24,1,17,26,31,5,12087
18,1,17,26,24,1,17,26,31,6,14706
18,1,17,26,24,1,17,26,31,7,18634
18,1,17,26,24,1,17,26,31,8,21848
18,1,17,26,24,1,17,26,31,9,21894
19,1,121,15,24,0,121,26,8,0,1332
19,1,121,15,24,0,121,26,8,1,1942
19,1,121,15,24,0,121,26,8,2,3457
19,1,121,15,24,0,121,26,8,3,6816
19,1,121,15,24,0,121,26,8,4,9658
19,1,121,15,24,0,121,26,8,5,12366
19,1,121,15,24,0,121,26,8,6,14879
19,1,121,15,24,0,121,26,8,7,18108
19,1,121,15,24,0,121,26,8,8,21144
19,1,121,15,24,0,121,26,8,9,23394
20,1,66,6,23,1,66,11,23,0,3134
