source,frame,sub,field,index,got
ALGTHM,0,0,fixed_contrib_q0,22,1
ALGTHM,0,0,fixed_contrib_q0,23,1
ALGTHM,0,0,fixed_contrib_q0,24,0
ALGTHM,0,0,fixed_contrib_q0,25,0
ALGTHM,0,0,fixed_contrib_q0,26,0
ALGTHM,0,0,fixed_contrib_q0,27,0
ALGTHM,0,0,fixed_contrib_q0,28,0
ALGTHM,0,0,fixed_contrib_q0,29,0
ALGTHM,0,0,fixed_contrib_q0,30,0
ALGTHM,0,0,fixed_contrib_q0,31,0
ALGTHM,0,0,fixed_contrib_q0,32,0
ALGTHM,0,0,fixed_contrib_q0,33,0
ALGTHM,0,0,fixed_contrib_q0,34,0
ALGTHM,0,0,fixed_contrib_q0,35,0
ALGTHM,0,0,fixed_contrib_q0,36,0
ALGTHM,0,0,fixed_contrib_q0,37,0
ALGTHM,0,0,fixed_contrib_q0,38,0
ALGTHM,0,0,fixed_contrib_q0,39,0
ALGTHM,0,0,excitation_u_q0,0,1
ALGTHM,0,0,excitation_u_q0,1,1
ALGTHM,0,0,excitation_u_q0,2,1
ALGTHM,0,0,excitation_u_q0,3,1
ALGTHM,0,0,excitation_u_q0,4,0
ALGTHM,0,0,excitation_u_q0,5,0
ALGTHM,0,0,excitation_u_q0,6,0
ALGTHM,0,0,excitation_u_q0,7,0
ALGTHM,0,0,excitation_u_q0,8,0
ALGTHM,0,0,excitation_u_q0,9,0
ALGTHM,0,0,excitation_u_q0,10,0
ALGTHM,0,0,excitation_u_q0,11,0
ALGTHM,0,0,excitation_u_q0,12,0
ALGTHM,0,0,excitation_u_q0,13,0
ALGTHM,0,0,excitation_u_q0,14,0
ALGTHM,0,0,excitation_u_q0,15,0
ALGTHM,0,0,excitation_u_q0,16,0
ALGTHM,0,0,excitation_u_q0,17,0
ALGTHM,0,0,excitation_u_q0,18,0
ALGTHM,0,0,excitation_u_q0,19,0
ALGTHM,0,0,excitation_u_q0,20,1
ALGTHM,0,0,excitation_u_q0,21,1
ALGTHM,0,0,excitation_u_q0,22,1
ALGTHM,0,0,excitation_u_q0,23,1
ALGTHM,0,0,excitation_u_q0,24,0
ALGTHM,0,0,excitation_u_q0,25,0
ALGTHM,0,0,excitation_u_q0,26,0
ALGTHM,0,0,excitation_u_q0,27,0
ALGTHM,0,0,excitation_u_q0,28,0
ALGTHM,0,0,excitation_u_q0,29,0
ALGTHM,0,0,excitation_u_q0,30,0
ALGTHM,0,0,excitation_u_q0,31,0
ALGTHM,0,0,excitation_u_q0,32,0
ALGTHM,0,0,excitation_u_q0,33,0
