frame,t_op,int_t1,delta,plausible
305,120,20,-100,false
306,60,20,-40,false
307,140,20,-120,false
308,102,20,-82,false
309,21,60,39,false
310,20,20,0,true
311,20,20,0,true
312,20,20,0,true
313,20,20,0,true
314,20,20,0,true
315,20,20,0,true
316,127,70,-57,false
317,61,20,-41,false
318,20,20,0,true
319,20,20,0,true
320,20,61,41,false
321,21,81,60,false
322,20,83,63,false
323,21,20,-1,true
324,126,21,-105,false
325,21,21,0,true
326,22,21,-1,true
327,104,21,-83,false
328,75,21,-54,false
329,21,125,104,false
330,21,21,0,true
331,22,21,-1,true
332,124,21,-103,false
333,20,21,1,true
334,21,42,21,false
335,95,81,-14,false
336,42,21,-21,false
337,128,22,-106,false
338,20,64,44,false
339,22,64,42,false
340,85,64,-21,false
341,20,85,65,false
342,23,24,1,true
343,111,22,-89,false
344,67,110,43,false
345,109,22,-87,false
346,131,22,-109,false
347,56,22,-34,false
348,22,127,105,false
349,88,22,-66,false
350,20,22,2,true
351,21,44,23,false
352,22,22,0,true
353,22,22,0,true
354,129,28,-101,false
355,23,20,-3,true
356,134,23,-111,false
357,22,22,0,true
358,87,22,-65,false
359,22,67,45,false
360,20,21,1,true
361,23,82,59,false
362,92,23,-69,false
363,21,23,2,true
364,136,23,-113,false
365,21,23,2,true
366,26,23,-3,true
367,23,21,-2,true
368,92,23,-69,false
369,23,23,0,true
370,94,23,-71,false
371,22,23,1,true
372,23,46,23,false
373,130,58,-72,false
374,70,21,-49,false
375,141,23,-118,false
376,22,70,48,false
377,92,70,-22,false
378,24,23,-1,true
379,20,94,74,false
380,24,26,2,true
381,24,24,0,true
382,22,24,2,true
383,22,24,2,true
384,24,24,0,true
385,30,24,-6,false
386,24,127,103,false
387,96,24,-72,false
388,22,24,2,true
389,118,24,-94,false
390,25,48,23,false
391,24,24,0,true
392,131,127,-4,true
393,48,21,-27,false
394,122,24,-98,false
395,75,24,-51,false
396,96,24,-72,false
397,24,24,0,true
398,20,25,5,false
399,26,24,-2,true
400,100,25,-75,false
401,24,25,1,true
402,100,25,-75,false
403,124,25,-99,false
404,33,25,-8,false
405,25,132,107,false
406,76,25,-51,false
407,26,25,-1,true
408,25,50,25,false
409,126,25,-101,false
410,25,25,0,true
411,132,64,-68,false
412,50,25,-25,false
413,126,26,-100,false
414,27,25,-2,true
415,24,25,1,true
416,26,25,-1,true
417,65,25,-40,false
418,27,130,103,false
419,105,26,-79,false
420,24,26,2,true
421,102,26,-76,false
422,128,26,-102,false
423,64,26,-38,false
424,26,130,104,false
425,79,26,-53,false
426,103,26,-77,false
427,26,26,0,true
428,106,26,-80,false
429,26,26,0,true
430,133,62,-71,false
431,52,25,-27,false
432,132,26,-106,false
433,26,26,0,true
434,132,26,-106,false
435,27,26,-1,true
436,67,26,-41,false
437,27,131,104,false
438,108,27,-81,false
439,83,27,-56,false
440,29,27,-2,true
441,29,27,-2,true
442,29,27,-2,true
443,27,21,-6,false
444,81,27,-54,false
445,27,27,0,true
446,26,27,1,true
447,27,54,27,false
448,27,81,54,false
449,134,73,-61,false
450,55,27,-28,false
451,137,28,-109,false
452,138,27,-111,false
453,29,27,-2,true
454,28,27,-1,true
455,20,28,8,false
456,29,138,109,false
457,113,29,-84,false
458,86,28,-58,false
459,28,28,0,true
460,28,28,0,true
461,93,84,-9,false
462,28,132,104,false
463,29,28,-1,true
464,29,28,-1,true
465,139,28,-111,false
466,27,28,1,true
467,28,28,0,true
468,134,63,-71,false
469,28,27,-1,true
470,29,28,-1,true
471,30,28,-2,true
472,29,28,-1,true
473,28,29,1,true
474,70,28,-42,false
475,29,133,104,false
476,29,29,0,true
477,30,29,-1,true
478,29,29,0,true
479,30,29,-1,true
480,29,29,0,true
481,136,72,-64,false
482,59,27,-32,false
483,30,29,-1,true
484,118,29,-89,false
485,29,29,0,true
486,29,29,0,true
487,136,73,-63,false
488,59,29,-30,false
489,119,29,-90,false
490,29,29,0,true
491,30,29,-1,true
492,30,29,-1,true
493,75,30,-45,false
494,31,137,106,false
495,91,30,-61,false
496,121,30,-91,false
497,122,30,-92,false
498,29,30,1,true
499,73,30,-43,false
500,30,134,104,false
501,91,30,-61,false
502,29,30,1,true
503,32,30,-2,true
504,29,30,1,true
505,30,30,0,true
506,20,67,47,false
507,31,27,-4,true
508,121,30,-91,false
509,30,30,0,true
510,31,30,-1,true
511,30,30,0,true
512,74,30,-44,false
513,31,138,107,false
514,94,31,-63,false
515,32,31,-1,true
516,30,62,32,false
517,31,31,0,true
518,32,31,-1,true
519,137,79,-58,false
520,93,29,-64,false
521,32,31,-1,true
522,30,31,1,true
523,30,31,1,true
524,31,31,0,true
525,20,37,17,false
526,32,32,0,true
527,125,31,-94,false
528,30,31,1,true
529,96,31,-65,false
530,31,31,0,true
531,20,66,46,false
532,33,32,-1,true
533,97,32,-65,false
534,129,32,-97,false
535,31,32,1,true
536,33,32,-1,true
537,37,64,27,false
