frame,t_op,int_t1,delta,plausible
1305,72,122,50,false
1306,72,72,0,true
1307,72,73,1,true
1308,72,72,0,true
1309,72,75,3,true
1310,20,76,56,false
1311,104,91,-13,false
1312,73,117,44,false
1313,73,74,1,true
1314,73,71,-2,true
1315,73,75,2,true
1316,20,82,62,false
1317,111,98,-13,false
1318,73,75,2,true
1319,73,76,3,true
1320,73,77,4,true
1321,73,76,3,true
1322,73,76,3,true
1323,76,65,-11,false
1324,116,20,-96,false
1325,73,75,2,true
1326,73,76,3,true
1327,74,70,-4,true
1328,74,73,-1,true
1329,82,67,-15,false
1330,105,25,-80,false
1331,74,77,3,true
1332,74,77,3,true
1333,74,72,-2,true
1334,74,75,1,true
1335,77,74,-3,true
1336,86,20,-66,false
1337,97,121,24,false
1338,74,72,-2,true
1339,74,74,0,true
1340,74,74,0,true
1341,80,74,-6,false
1342,89,20,-69,false
1343,98,34,-64,false
1344,73,73,0,true
1345,74,74,0,true
1346,74,74,0,true
1347,82,74,-8,false
1348,91,20,-71,false
1349,99,117,18,false
1350,74,74,0,true
1351,75,76,1,true
1352,75,75,0,true
1353,75,75,0,true
1354,85,75,-10,false
1355,93,20,-73,false
1356,75,118,43,false
1357,75,75,0,true
1358,75,75,0,true
1359,75,75,0,true
1360,84,75,-9,false
1361,92,20,-72,false
1362,100,123,23,false
1363,74,75,1,true
1364,75,75,0,true
1365,75,75,0,true
1366,82,75,-7,false
1367,89,20,-69,false
1368,98,36,-62,false
1369,76,78,2,true
1370,76,74,-2,true
1371,76,77,1,true
1372,76,76,0,true
1373,80,76,-4,true
1374,87,20,-67,false
1375,96,31,-65,false
1376,76,78,2,true
1377,76,73,-3,true
1378,75,76,1,true
1379,75,76,1,true
1380,82,73,-9,false
1381,101,23,-78,false
1382,76,73,-3,true
1383,76,78,2,true
1384,76,79,3,true
1385,76,73,-3,true
1386,77,70,-7,false
1387,121,21,-100,false
1388,77,80,3,true
1389,77,80,3,true
1390,77,80,3,true
1391,77,79,2,true
1392,20,91,71,false
1393,116,20,-96,false
1394,77,79,2,true
1395,77,79,2,true
1396,77,75,-2,true
1397,76,79,3,true
1398,78,80,2,true
1399,20,89,69,false
1400,110,94,-16,false
1401,77,119,42,false
1402,77,77,0,true
1403,77,77,0,true
1404,77,78,1,true
1405,69,80,11,false
1406,24,85,61,false
1407,78,120,42,false
1408,78,78,0,true
1409,78,78,0,true
1410,78,78,0,true
1411,86,78,-8,false
1412,21,21,0,true
1413,78,125,47,false
1414,78,78,0,true
1415,78,77,-1,true
1416,78,78,0,true
1417,80,78,-2,true
1418,85,20,-65,false
1419,103,27,-76,false
1420,78,80,2,true
1421,78,81,3,true
1422,78,82,4,true
1423,78,78,0,true
1424,20,67,47,false
1425,121,25,-96,false
1426,79,81,2,true
1427,79,82,3,true
1428,79,81,2,true
1429,79,79,0,true
1430,20,85,65,false
1431,25,88,63,false
1432,79,124,45,false
1433,79,79,0,true
1434,79,79,0,true
1435,79,79,0,true
1436,78,79,1,true
1437,21,26,5,false
1438,82,126,44,false
1439,79,79,0,true
1440,79,79,0,true
1441,79,79,0,true
1442,79,79,0,true
1443,82,69,-13,false
1444,120,25,-95,false
1445,80,80,0,true
1446,80,80,0,true
1447,80,80,0,true
1448,80,80,0,true
1449,20,87,67,false
1450,111,95,-16,false
1451,80,120,40,false
1452,80,80,0,true
1453,80,80,0,true
1454,80,80,0,true
1455,71,80,9,false
1456,22,21,-1,true
1457,80,127,47,false
1458,80,81,1,true
1459,80,81,1,true
1460,80,80,0,true
1461,82,80,-2,true
1462,81,68,-13,false
1463,124,23,-101,false
1464,81,80,-1,true
1465,81,80,-1,true
1466,81,80,-1,true
1467,81,84,3,true
1468,20,88,68,false
1469,25,90,65,false
1470,81,124,43,false
1471,81,81,0,true
1472,81,81,0,true
1473,81,81,0,true
1474,91,81,-10,false
1475,93,24,-69,false
1476,105,30,-75,false
1477,81,84,3,true
1478,81,83,2,true
1479,81,80,-1,true
1480,81,81,0,true
1481,20,97,77,false
1482,119,101,-18,false
1483,82,122,40,false
1484,82,82,0,true
1485,82,82,0,true
1486,82,82,0,true
1487,75,82,7,false
1488,20,24,4,true
1489,109,131,22,false
1490,82,79,-3,true
1491,82,79,-3,true
1492,82,80,-2,true
1493,82,80,-2,true
1494,20,78,58,false
1495,124,25,-99,false
1496,82,81,-1,true
1497,82,83,1,true
1498,82,83,1,true
1499,82,82,0,true
1500,72,82,10,false
1501,20,78,58,false
1502,85,129,44,false
1503,83,83,0,true
1504,81,81,0,true
1505,85,82,-3,true
1506,77,61,-16,false
1507,126,20,-106,false
1508,83,80,-3,true
1509,83,83,0,true
1510,83,83,0,true
1511,83,83,0,true
1512,72,83,11,false
1513,22,20,-2,true
1514,88,125,37,false
1515,83,83,0,true
1516,83,81,-2,true
1517,83,81,-2,true
1518,83,84,1,true
1519,20,78,58,false
1520,122,26,-96,false
1521,84,126,42,false
1522,84,83,-1,true
1523,84,84,0,true
1524,84,84,0,true
1525,96,84,-12,false
1526,97,22,-75,false
1527,108,32,-76,false
1528,84,87,3,true
1529,84,87,3,true
1530,84,85,1,true
1531,84,81,-3,true
1532,20,91,71,false
1533,30,96,66,false
1534,86,125,39,false
1535,84,85,1,true
1536,84,84,0,true
1537,93,84,-9,false
1538,89,22,-67,false
1539,116,20,-96,false
1540,85,86,1,true
1541,85,82,-3,true
1542,85,82,-3,true
1543,85,80,-5,true
1544,72,85,13,false
1545,21,78,57,false
1546,98,131,33,false
1547,86,86,0,true
1548,86,89,3,true
1549,86,86,0,true
1550,86,86,0,true
1551,20,102,82,false
1552,29,97,68,false
1553,87,130,43,false
1554,87,88,1,true
1555,87,87,0,true
1556,87,87,0,true
1557,83,67,-16,false
1558,133,23,-110,false
1559,88,85,-3,true
1560,88,88,0,true
1561,88,89,1,true
1562,88,88,0,true
1563,98,88,-10,false
1564,92,20,-72,false
1565,120,23,-97,false
1566,87,84,-3,true
1567,92,89,-3,true
1568,89,93,4,true
1569,74,89,15,false
1570,20,21,1,true
1571,116,137,21,false
1572,90,87,-3,true
1573,90,89,-1,true
1574,90,88,-2,true
1575,90,90,0,true
1576,73,90,17,false
1577,103,78,-25,false
1578,117,135,18,false
1579,91,95,4,true
1580,91,90,-1,true
1581,91,94,3,true
1582,67,91,24,false
1583,22,82,60,false
1584,106,135,29,false
1585,92,90,-2,true
1586,92,90,-2,true
1587,92,89,-3,true
1588,20,95,75,false
1589,21,80,59,false
1590,102,134,32,false
1591,93,91,-2,true
1592,93,90,-3,true
1593,93,93,0,true
1594,93,96,3,true
1595,76,93,17,false
1596,103,21,-82,false
1597,118,38,-80,false
1598,94,97,3,true
1599,94,95,1,true
1600,94,91,-3,true
1601,68,94,26,false
1602,20,25,5,false
1603,118,37,-81,false
1604,94,95,1,true
1605,96,96,0,true
1606,95,97,2,true
1607,102,95,-7,false
1608,95,23,-72,false
1609,133,22,-111,false
1610,96,97,1,true
1611,95,95,0,true
1612,97,94,-3,true
1613,97,98,1,true
1614,86,20,-66,false
1615,139,24,-115,false
1616,97,66,-31,false
1617,97,97,0,true
1618,97,97,0,true
1619,97,99,2,true
1620,20,62,42,false
1621,37,103,66,false
1622,98,143,45,false
1623,98,98,0,true
1624,98,101,3,true
1625,98,98,0,true
1626,20,102,82,false
1627,24,92,68,false
1628,106,143,37,false
1629,99,96,-3,true
1630,99,96,-3,true
1631,99,99,0,true
1632,110,99,-11,false
1633,20,22,2,true
1634,126,22,-104,false
1635,100,98,-2,true
1636,100,99,-1,true
1637,100,101,1,true
1638,100,100,0,true
1639,82,66,-16,false
1640,42,109,67,false
1641,101,142,41,false
1642,101,101,0,true
1643,101,104,3,true
1644,101,98,-3,true
1645,20,101,81,false
1646,20,89,69,false
1647,130,139,9,false
1648,102,99,-3,true
1649,102,113,11,false
1650,102,102,0,true
1651,102,103,1,true
1652,89,20,-69,false
1653,143,27,-116,false
1654,103,60,-43,false
1655,103,103,0,true
1656,103,101,-2,true
1657,103,100,-3,true
1658,20,104,84,false
1659,20,92,72,false
1660,121,140,19,false
1661,104,101,-3,true
1662,104,115,11,false
1663,104,104,0,true
1664,104,105,1,true
1665,86,20,-66,false
1666,142,24,-118,false
1667,105,138,33,false
1668,105,105,0,true
1669,105,108,3,true
1670,105,106,1,true
1671,122,106,-16,false
1672,104,84,-20,false
1673,130,38,-92,false
1674,106,109,3,true
1675,106,108,2,true
1676,106,106,0,true
1677,91,20,-71,false
1678,143,23,-120,false
1679,107,126,19,false
1680,107,107,0,true
1681,107,111,4,true
1682,107,102,-5,true
1683,121,108,-13,false
1684,104,83,-21,false
1685,130,37,-93,false
1686,108,20,-88,false
1687,108,108,0,true
1688,108,108,0,true
1689,108,111,3,true
1690,20,118,98,false
1691,22,95,73,false
1692,120,141,21,false
1693,109,106,-3,true
1694,109,116,7,false
1695,109,109,0,true
1696,98,25,-73,false
1697,60,20,-40,false
1698,110,64,-46,false
1699,110,110,0,true
1700,110,114,4,true
1701,110,117,7,false
1702,118,110,-8,false
1703,104,81,-23,false
1704,143,24,-119,false
1705,111,60,-51,false
1706,111,111,0,true
1707,111,108,-3,true
1708,111,115,4,true
1709,126,112,-14,false
1710,104,87,-17,false
1711,137,25,-112,false
1712,112,20,-92,false
1713,112,113,1,true
1714,112,112,0,true
1715,82,116,34,false
1716,30,114,84,false
1717,121,143,22,false
1718,113,116,3,true
1719,113,121,8,false
1720,113,113,0,true
1721,113,113,0,true
1722,82,118,36,false
1723,31,110,79,false
1724,122,143,21,false
1725,114,116,2,true
1726,114,125,11,false
1727,115,115,0,true
1728,103,26,-77,false
1729,63,26,-37,false
1730,115,60,-55,false
1731,115,115,0,true
1732,115,119,4,true
1733,115,124,9,false
1734,115,115,0,true
1735,97,22,-75,false
1736,59,20,-39,false
1737,116,137,21,false
1738,116,116,0,true
1739,116,118,2,true
1740,129,121,-8,false
1741,104,88,-16,false
1742,143,24,-119,false
1743,117,20,-97,false
1744,117,117,0,true
1745,118,120,2,true
1746,117,121,4,true
1747,117,117,0,true
1748,103,23,-80,false
1749,63,25,-38,false
1750,118,135,17,false
1751,118,118,0,true
1752,118,120,2,true
1753,132,122,-10,false
1754,104,89,-15,false
1755,143,29,-114,false
1756,119,20,-99,false
1757,119,119,0,true
1758,119,120,1,true
1759,20,129,109,false
1760,20,96,76,false
1761,143,141,-2,true
1762,120,65,-55,false
1763,122,120,-2,true
1764,120,123,3,true
1765,120,116,-4,true
1766,121,120,-1,true
1767,105,80,-25,false
1768,68,24,-44,false
1769,121,65,-56,false
1770,121,121,0,true
1771,121,120,-1,true
1772,128,121,-7,false
1773,104,87,-17,false
1774,72,22,-50,false
1775,122,63,-59,false
1776,122,122,0,true
1777,122,120,-2,true
1778,134,125,-9,false
1779,106,93,-13,false
1780,143,22,-121,false
1781,123,23,-100,false
1782,123,123,0,true
1783,123,123,0,true
1784,20,126,106,false
1785,101,90,-11,false
1786,143,43,-100,false
1787,124,60,-64,false
1788,124,124,0,true
1789,124,128,4,true
1790,124,131,7,false
1791,124,124,0,true
1792,88,133,45,false
1793,27,120,93,false
1794,134,141,7,false
1795,125,126,1,true
1796,125,127,2,true
1797,125,126,1,true
1798,86,136,50,false
1799,106,120,14,false
1800,105,120,15,false
1801,82,80,-2,true
1802,81,80,-1,true
1803,81,80,-1,true
1804,82,80,-2,true
1805,81,80,-1,true
1806,81,80,-1,true
1807,81,82,1,true
1808,81,80,-1,true
1809,81,85,4,true
1810,81,83,2,true
1811,81,81,0,true
1812,80,81,1,true
1813,81,80,-1,true
1814,80,79,-1,true
1815,80,84,4,true
1816,78,84,6,false
1817,78,82,4,true
1818,80,84,4,true
1819,82,83,1,true
1820,81,80,-1,true
1821,81,80,-1,true
1822,80,80,0,true
1823,79,80,1,true
1824,79,80,1,true
1825,79,80,1,true
1826,79,80,1,true
1827,81,80,-1,true
1828,81,81,0,true
1829,81,81,0,true
1830,80,81,1,true
1831,81,81,0,true
1832,82,81,-1,true
1833,82,81,-1,true
1834,82,83,1,true
